row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20
2.8094,2.6544,2.8927,2.5943,2.7997,2.7316,2.733,2.7595,2.8232,avg,2.7553,predicting_date,2022/5/18 0:00,last_real,2.7801,,,,,
2.8109,2.6414,2.8861,2.5944,2.7932,2.7274,2.7299,2.7567,2.8153,avg,2.7506,predicting_date,2022/5/19 0:00,last_real,2.7774,,,,,
2.8151,2.6512,2.8862,2.5981,2.7987,2.7344,2.7355,2.765,2.823,avg,2.7564,predicting_date,2022/5/20 0:00,last_real,2.79,,,,,
2.8023,2.6248,2.8822,2.5699,2.7854,2.7195,2.7233,2.7487,2.8058,avg,2.7402,predicting_date,2022/5/23 0:00,last_real,2.7675,,,,,
2.8044,2.6275,2.8776,2.5679,2.7875,2.7238,2.7264,2.7558,2.8107,avg,2.7424,predicting_date,2022/5/24 0:00,last_real,2.765,,,,,
2.8041,2.6317,2.8767,2.5679,2.7808,2.7242,2.7306,2.7514,2.8127,avg,2.7422,predicting_date,2022/5/25 0:00,last_real,2.7575,,,,,
2.7805,2.581,2.8535,2.5508,2.743,2.6879,2.703,2.7165,2.77,avg,2.7096,predicting_date,2022/5/26 0:00,last_real,2.71,,,,,
2.7801,2.5732,2.8507,2.564,2.7411,2.6853,2.6993,2.7149,2.7643,avg,2.7081,predicting_date,2022/5/27 0:00,last_real,2.6974,,,,,
2.763,2.765,2.7932,2.7566,2.7163,2.9163,2.7981,2.7026,avg,2.7764,predicting_date,2022/5/25 0:00,last_real,2.7575,,,,,,
2.7345,2.7364,2.7517,2.7466,2.6847,2.897,2.7602,2.6666,avg,2.7472,predicting_date,2022/5/26 0:00,last_real,2.71,,,,,,
2.7283,2.733,2.7588,2.7439,2.6774,2.8945,2.754,2.6623,avg,2.744,predicting_date,2022/5/27 0:00,last_real,2.6974,,,,,,
2.7461,2.7495,2.7751,2.7494,2.6965,2.9034,2.7764,2.6815,avg,2.7597,predicting_date,2022/5/30 0:00,last_real,2.7225,,,,,,
2.7631,2.7636,2.788,2.7561,2.7154,2.9119,2.7971,2.708,avg,2.7754,predicting_date,2022/5/31 0:00,last_real,2.7426,,,,,,
2.7654,2.7659,2.8003,2.7535,2.7194,2.9181,2.8005,2.7184,avg,2.7802,predicting_date,2022/6/1 0:00,last_real,2.7551,,,,,,
2.7714,2.771,2.8074,2.7547,2.7232,2.9171,2.808,2.7237,avg,2.7846,predicting_date,2022/6/2 0:00,last_real,2.7601,,,,,,
2.8626,2.8196,2.8264,2.9148,2.8102,3.0539,2.6516,2.8046,2.7146,avg,2.8287,predicting_date,2022/6/1 0:00,last_real,2.7551,,,,,
2.864,2.8251,2.828,2.9148,2.8197,3.0544,2.6595,2.7926,2.7338,avg,2.8324,predicting_date,2022/6/2 0:00,last_real,2.7601,,,,,
2.8667,2.8255,2.8279,2.9148,2.8199,3.0655,2.6554,2.8023,2.7274,avg,2.8339,predicting_date,2022/6/3 0:00,last_real,2.7601,,,,,
2.8736,2.8379,2.8289,2.9148,2.8367,3.0885,2.6693,2.8168,2.7393,avg,2.8451,predicting_date,2022/6/6 0:00,last_real,2.7776,,,,,
2.8674,2.8241,2.8212,2.9148,2.8008,3.0671,2.6525,2.8049,2.7239,avg,2.8307,predicting_date,2022/6/7 0:00,last_real,2.7576,,,,,
2.8714,2.8275,2.8269,2.9148,2.8115,3.0843,2.6499,2.8136,2.7227,avg,2.8358,predicting_date,2022/6/8 0:00,last_real,2.7661,,,,,
2.8699,2.824,2.8251,2.9148,2.8113,3.0843,2.6447,2.8277,2.7061,avg,2.8342,predicting_date,2022/6/9 0:00,last_real,2.7576,,,,,
2.8697,2.8219,2.8286,2.9148,2.8368,3.1066,2.6314,2.8425,2.6877,avg,2.8378,predicting_date,2022/6/10 0:00,last_real,2.7526,,,,,
2.8636,2.7509,2.7507,2.7462,2.7263,2.7769,2.7162,2.9926,2.8075,avg,2.7923,predicting_date,2022/6/8 0:00,last_real,2.7661,,,,,
2.8771,2.7426,2.7276,2.7416,2.7212,2.7675,2.6844,2.9894,2.8126,avg,2.7849,predicting_date,2022/6/9 0:00,last_real,2.7576,,,,,
2.8949,2.7322,2.6982,2.7358,2.7172,2.7561,2.6467,2.9829,2.8182,avg,2.7758,predicting_date,2022/6/10 0:00,last_real,2.7526,,,,,
2.8845,2.7387,2.7026,2.7422,2.7351,2.7619,2.6551,2.9878,2.8348,avg,2.7825,predicting_date,2022/6/13 0:00,last_real,2.7652,,,,,
2.9137,2.7266,2.6647,2.7392,2.7342,2.752,2.6046,2.9785,2.8361,avg,2.7722,predicting_date,2022-06-14 00:00:00,last_real,2.7702
2.9126,2.7307,2.6718,2.7441,2.746,2.7583,2.611,2.9823,2.8365,avg,2.777,predicting_date,2022-06-15 00:00:00,last_real,2.7827
2.9152,2.7312,2.6823,2.7405,2.7355,2.7607,2.6307,2.9824,2.8422,avg,2.7801,predicting_date,2022-06-16 00:00:00,last_real,2.7728
2.8862,2.7422,2.719,2.7439,2.736,2.7689,2.6735,2.9852,2.8248,avg,2.7866,predicting_date,2022-06-17 00:00:00,last_real,2.7752
