,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
0,1,1,"['date', 'CHN10', 'INDU']",,,,
1,1,2,"['date', 'CHN10', 'PPI']",,,,
2,1,3,"['date', 'CHN10', 'PMI']",,,,
3,1,4,"['date', 'CHN10', 'OECD']",,,,
4,1,5,"['date', 'CHN10', 'JIANZHU']",,,,
5,1,6,"['date', 'CHN10', 'XINJIAN']",,,,
6,1,7,"['date', 'CHN10', 'ERSHOU']",,,,
7,1,8,"['date', 'CHN10', 'SPOT']",,,,
8,1,9,"['date', 'CHN10', 'IRBOND']",,,,
9,2,1,"['date', 'CHN10', 'INDU', 'PPI']",,,,
10,2,2,"['date', 'CHN10', 'INDU', 'PMI']",,,,
11,2,3,"['date', 'CHN10', 'INDU', 'OECD']",,,,
12,2,4,"['date', 'CHN10', 'INDU', 'JIANZHU']",,,,
13,2,5,"['date', 'CHN10', 'INDU', 'XINJIAN']",,,,
14,2,6,"['date', 'CHN10', 'INDU', 'ERSHOU']",,,,
15,2,7,"['date', 'CHN10', 'INDU', 'SPOT']",,,,
16,2,8,"['date', 'CHN10', 'INDU', 'IRBOND']",,,,
17,2,9,"['date', 'CHN10', 'PPI', 'PMI']",,,,
18,2,10,"['date', 'CHN10', 'PPI', 'OECD']",,,,
19,2,11,"['date', 'CHN10', 'PPI', 'JIANZHU']",,,,
20,2,12,"['date', 'CHN10', 'PPI', 'XINJIAN']",,,,
21,2,13,"['date', 'CHN10', 'PPI', 'ERSHOU']",,,,
22,2,14,"['date', 'CHN10', 'PPI', 'SPOT']",,,,
23,2,15,"['date', 'CHN10', 'PPI', 'IRBOND']",,,,
24,2,16,"['date', 'CHN10', 'PMI', 'OECD']",,,,
25,2,17,"['date', 'CHN10', 'PMI', 'JIANZHU']",,,,
26,2,18,"['date', 'CHN10', 'PMI', 'XINJIAN']",,,,
27,2,19,"['date', 'CHN10', 'PMI', 'ERSHOU']",,,,
28,2,20,"['date', 'CHN10', 'PMI', 'SPOT']",,,,
29,2,21,"['date', 'CHN10', 'PMI', 'IRBOND']",,,,
30,2,22,"['date', 'CHN10', 'OECD', 'JIANZHU']",,,,
31,2,23,"['date', 'CHN10', 'OECD', 'XINJIAN']",,,,
32,2,24,"['date', 'CHN10', 'OECD', 'ERSHOU']",,,,
33,2,25,"['date', 'CHN10', 'OECD', 'SPOT']",,,,
34,2,26,"['date', 'CHN10', 'OECD', 'IRBOND']",,,,
35,2,27,"['date', 'CHN10', 'JIANZHU', 'XINJIAN']",,,,
36,2,28,"['date', 'CHN10', 'JIANZHU', 'ERSHOU']",,,,
37,2,29,"['date', 'CHN10', 'JIANZHU', 'SPOT']",,,,
38,2,30,"['date', 'CHN10', 'JIANZHU', 'IRBOND']",,,,
39,2,31,"['date', 'CHN10', 'XINJIAN', 'ERSHOU']",,,,
40,2,32,"['date', 'CHN10', 'XINJIAN', 'SPOT']",,,,
41,2,33,"['date', 'CHN10', 'XINJIAN', 'IRBOND']",,,,
42,2,34,"['date', 'CHN10', 'ERSHOU', 'SPOT']",,,,
43,2,35,"['date', 'CHN10', 'ERSHOU', 'IRBOND']",,,,
44,2,36,"['date', 'CHN10', 'SPOT', 'IRBOND']",,,,
45,3,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI']",,,,
46,3,2,"['date', 'CHN10', 'INDU', 'PPI', 'OECD']",,,,
47,3,3,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU']",,,,
48,3,4,"['date', 'CHN10', 'INDU', 'PPI', 'XINJIAN']",,,,
49,3,5,"['date', 'CHN10', 'INDU', 'PPI', 'ERSHOU']",,,,
50,3,6,"['date', 'CHN10', 'INDU', 'PPI', 'SPOT']",,,,
51,3,7,"['date', 'CHN10', 'INDU', 'PPI', 'IRBOND']",,,,
52,3,8,"['date', 'CHN10', 'INDU', 'PMI', 'OECD']",,,,
53,3,9,"['date', 'CHN10', 'INDU', 'PMI', 'JIANZHU']",,,,
54,3,10,"['date', 'CHN10', 'INDU', 'PMI', 'XINJIAN']",,,,
55,3,11,"['date', 'CHN10', 'INDU', 'PMI', 'ERSHOU']",,,,
56,3,12,"['date', 'CHN10', 'INDU', 'PMI', 'SPOT']",,,,
57,3,13,"['date', 'CHN10', 'INDU', 'PMI', 'IRBOND']",,,,
58,3,14,"['date', 'CHN10', 'INDU', 'OECD', 'JIANZHU']",,,,
59,3,15,"['date', 'CHN10', 'INDU', 'OECD', 'XINJIAN']",,,,
60,3,16,"['date', 'CHN10', 'INDU', 'OECD', 'ERSHOU']",,,,
61,3,17,"['date', 'CHN10', 'INDU', 'OECD', 'SPOT']",,,,
62,3,18,"['date', 'CHN10', 'INDU', 'OECD', 'IRBOND']",,,,
63,3,19,"['date', 'CHN10', 'INDU', 'JIANZHU', 'XINJIAN']",,,,
64,3,20,"['date', 'CHN10', 'INDU', 'JIANZHU', 'ERSHOU']",,,,
65,3,21,"['date', 'CHN10', 'INDU', 'JIANZHU', 'SPOT']",,,,
66,3,22,"['date', 'CHN10', 'INDU', 'JIANZHU', 'IRBOND']",,,,
67,3,23,"['date', 'CHN10', 'INDU', 'XINJIAN', 'ERSHOU']",,,,
68,3,24,"['date', 'CHN10', 'INDU', 'XINJIAN', 'SPOT']",,,,
69,3,25,"['date', 'CHN10', 'INDU', 'XINJIAN', 'IRBOND']",,,,
70,3,26,"['date', 'CHN10', 'INDU', 'ERSHOU', 'SPOT']",,,,
71,3,27,"['date', 'CHN10', 'INDU', 'ERSHOU', 'IRBOND']",,,,
72,3,28,"['date', 'CHN10', 'INDU', 'SPOT', 'IRBOND']",,,,
73,3,29,"['date', 'CHN10', 'PPI', 'PMI', 'OECD']",,,,
74,3,30,"['date', 'CHN10', 'PPI', 'PMI', 'JIANZHU']",,,,
75,3,31,"['date', 'CHN10', 'PPI', 'PMI', 'XINJIAN']",,,,
76,3,32,"['date', 'CHN10', 'PPI', 'PMI', 'ERSHOU']",,,,
77,3,33,"['date', 'CHN10', 'PPI', 'PMI', 'SPOT']",,,,
78,3,34,"['date', 'CHN10', 'PPI', 'PMI', 'IRBOND']",,,,
79,3,35,"['date', 'CHN10', 'PPI', 'OECD', 'JIANZHU']",,,,
80,3,36,"['date', 'CHN10', 'PPI', 'OECD', 'XINJIAN']",,,,
81,3,37,"['date', 'CHN10', 'PPI', 'OECD', 'ERSHOU']",,,,
82,3,38,"['date', 'CHN10', 'PPI', 'OECD', 'SPOT']",,,,
83,3,39,"['date', 'CHN10', 'PPI', 'OECD', 'IRBOND']",,,,
84,3,40,"['date', 'CHN10', 'PPI', 'JIANZHU', 'XINJIAN']",,,,
85,3,41,"['date', 'CHN10', 'PPI', 'JIANZHU', 'ERSHOU']",,,,
86,3,42,"['date', 'CHN10', 'PPI', 'JIANZHU', 'SPOT']",,,,
87,3,43,"['date', 'CHN10', 'PPI', 'JIANZHU', 'IRBOND']",,,,
88,3,44,"['date', 'CHN10', 'PPI', 'XINJIAN', 'ERSHOU']",,,,
89,3,45,"['date', 'CHN10', 'PPI', 'XINJIAN', 'SPOT']",,,,
90,3,46,"['date', 'CHN10', 'PPI', 'XINJIAN', 'IRBOND']",,,,
91,3,47,"['date', 'CHN10', 'PPI', 'ERSHOU', 'SPOT']",,,,
92,3,48,"['date', 'CHN10', 'PPI', 'ERSHOU', 'IRBOND']",,,,
93,3,49,"['date', 'CHN10', 'PPI', 'SPOT', 'IRBOND']",,,,
94,3,50,"['date', 'CHN10', 'PMI', 'OECD', 'JIANZHU']",,,,
95,3,51,"['date', 'CHN10', 'PMI', 'OECD', 'XINJIAN']",,,,
96,3,52,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU']",,,,
97,3,53,"['date', 'CHN10', 'PMI', 'OECD', 'SPOT']",,,,
98,3,54,"['date', 'CHN10', 'PMI', 'OECD', 'IRBOND']",,,,
99,3,55,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN']",,,,
100,3,56,"['date', 'CHN10', 'PMI', 'JIANZHU', 'ERSHOU']",,,,
101,3,57,"['date', 'CHN10', 'PMI', 'JIANZHU', 'SPOT']",,,,
102,3,58,"['date', 'CHN10', 'PMI', 'JIANZHU', 'IRBOND']",,,,
103,3,59,"['date', 'CHN10', 'PMI', 'XINJIAN', 'ERSHOU']",,,,
104,3,60,"['date', 'CHN10', 'PMI', 'XINJIAN', 'SPOT']",,,,
105,3,61,"['date', 'CHN10', 'PMI', 'XINJIAN', 'IRBOND']",,,,
106,3,62,"['date', 'CHN10', 'PMI', 'ERSHOU', 'SPOT']",,,,
107,3,63,"['date', 'CHN10', 'PMI', 'ERSHOU', 'IRBOND']",,,,
108,3,64,"['date', 'CHN10', 'PMI', 'SPOT', 'IRBOND']",,,,
109,3,65,"['date', 'CHN10', 'OECD', 'JIANZHU', 'XINJIAN']",,,,
110,3,66,"['date', 'CHN10', 'OECD', 'JIANZHU', 'ERSHOU']",,,,
111,3,67,"['date', 'CHN10', 'OECD', 'JIANZHU', 'SPOT']",,,,
112,3,68,"['date', 'CHN10', 'OECD', 'JIANZHU', 'IRBOND']",,,,
113,3,69,"['date', 'CHN10', 'OECD', 'XINJIAN', 'ERSHOU']",,,,
114,3,70,"['date', 'CHN10', 'OECD', 'XINJIAN', 'SPOT']",,,,
115,3,71,"['date', 'CHN10', 'OECD', 'XINJIAN', 'IRBOND']",,,,
116,3,72,"['date', 'CHN10', 'OECD', 'ERSHOU', 'SPOT']",,,,
117,3,73,"['date', 'CHN10', 'OECD', 'ERSHOU', 'IRBOND']",,,,
118,3,74,"['date', 'CHN10', 'OECD', 'SPOT', 'IRBOND']",,,,
119,3,75,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
120,3,76,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
121,3,77,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
122,3,78,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
123,3,79,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
124,3,80,"['date', 'CHN10', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
125,3,81,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
126,3,82,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
127,3,83,"['date', 'CHN10', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
128,3,84,"['date', 'CHN10', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
129,4,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD']",,,,
