row1,row2,row3,row4,row5,row6,row7,row8,row9,row10,row11,row12,row13,row14,row15,row16,row17,row18,row19,row20
2.5398,2.9267,2.7794,2.7316,2.8754,2.8712,2.737,2.8489,3.2333,avg,2.8381,predicting_date,2022/5/18 0:00,last_real,2.7801,,,,,
2.5398,2.9513,2.7794,2.7285,2.8712,2.8678,2.733,2.849,3.2333,avg,2.8393,predicting_date,2022/5/19 0:00,last_real,2.7774,,,,,
2.5564,2.9555,2.7837,2.7337,2.8728,2.8705,2.7395,2.8476,3.2333,avg,2.8437,predicting_date,2022/5/20 0:00,last_real,2.79,,,,,
2.5398,2.8543,2.7499,2.7181,2.8481,2.8591,2.7259,2.868,3.2333,avg,2.8218,predicting_date,2022/5/23 0:00,last_real,2.7675,,,,,
2.581,2.8887,2.7482,2.7213,2.8345,2.8579,2.7298,2.8692,3.2333,avg,2.8293,predicting_date,2022/5/24 0:00,last_real,2.765,,,,,
2.5786,2.8457,2.7482,2.7239,2.8439,2.8577,2.7301,2.8664,3.2333,avg,2.8253,predicting_date,2022/5/25 0:00,last_real,2.7575,,,,,
2.5398,2.9042,2.7263,2.6959,2.8144,2.8356,2.6979,2.8576,3.2333,avg,2.8117,predicting_date,2022/5/26 0:00,last_real,2.71,,,,,
2.5398,2.9524,2.7414,2.6947,2.8299,2.8363,2.6948,2.849,3.2333,avg,2.8191,predicting_date,2022/5/27 0:00,last_real,2.6974,,,,,
2.7814,2.7744,2.7957,2.692,2.744,2.8571,2.9329,2.7533,2.8274,2.7253,avg,2.7884,predicting_date,2022/5/25 0:00,last_real,2.7575,,,,
2.7331,2.7423,2.7666,2.6739,2.7072,2.8268,2.8728,2.7247,2.7901,2.7004,avg,2.7538,predicting_date,2022/5/26 0:00,last_real,2.71,,,,
2.7317,2.744,2.7639,2.6724,2.7039,2.8287,2.8772,2.722,2.7878,2.6823,avg,2.7514,predicting_date,2022/5/27 0:00,last_real,2.6974,,,,
2.7573,2.7591,2.7806,2.684,2.7236,2.8401,2.9036,2.7372,2.8099,2.7015,avg,2.7697,predicting_date,2022/5/30 0:00,last_real,2.7225,,,,
2.779,2.7721,2.7957,2.6978,2.7421,2.8659,2.9196,2.7517,2.8242,2.7248,avg,2.7873,predicting_date,2022/5/31 0:00,last_real,2.7426,,,,
2.7912,2.7806,2.8005,2.7016,2.7481,2.8707,2.9352,2.7563,2.8304,2.7268,avg,2.7941,predicting_date,2022/6/1 0:00,last_real,2.7551,,,,
