,feature_num,comb_num,r2,mae,mpea,timecost,feature_comb
0,3,73,0.04239999999999999,0.0296,0.01,2.7598,"['date', 'CHN10', 'SHERONG', 'CPI', 'GKBOND']"
1,6,119,0.04700000000000004,0.0283,0.0096,3.413,"['date', 'CHN10', 'USA10', 'SHERONG', 'SHI', 'M1', 'GKBOND', 'GOLD']"
2,6,16,0.04920000000000002,0.0312,0.0105,3.551,"['date', 'CHN10', 'USA10', 'SHERONG', 'R007', 'USDI', 'M1', 'GKBOND']"
3,4,152,0.05389999999999995,0.033,0.0114,3.2302,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'GKBOND']"
4,5,306,0.05600000000000005,0.0332,0.0113,2.8949,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'M1', 'GKBOND']"
5,3,153,0.0645,0.0357,0.0118,2.8038,"['date', 'CHN10', 'SHI', 'GKBOND', 'MID']"
6,5,157,0.06710000000000005,0.0373,0.0127,2.8172,"['date', 'CHN10', 'USA10', 'USDI', 'SHI', 'CPI', 'GKBOND']"
7,3,76,0.07040000000000002,0.0348,0.0115,2.7986,"['date', 'CHN10', 'SHERONG', 'M1', 'GKBOND']"
8,4,290,0.07640000000000002,0.0349,0.0118,3.3825,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND', 'GOLD']"
9,2,17,0.07889999999999997,0.0382,0.0125,2.7579,"['date', 'CHN10', 'SHERONG', 'GKBOND']"
