,r2,mae,mpea,timecost,epochs,learning_rate,feature_comb
0,0.008499999999999952,0.0249,0.0081,26.2623,10000,0.001,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'CPI', 'GKBOND', 'MID']"
1,0.009199999999999986,0.0271,0.0086,22.5164,10000,0.001,"['date', 'CHN10', 'SHERONG', 'SHI', 'CPI', 'GKBOND']"
2,0.009700000000000042,0.0263,0.0085,22.1723,10000,0.01,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'CPI', 'GKBOND']"
3,0.010399999999999965,0.0283,0.0091,2.6131,1000,0.01,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'CPI', 'GKBOND', 'MID']"
4,0.011900000000000022,0.0275,0.009,23.1312,10000,0.01,"['date', 'CHN10', 'R007', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'MID', 'GOLD']"
5,0.01319999999999999,0.0309,0.0099,2.2186,1000,0.1,"['date', 'CHN10', 'R007', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'MID', 'GOLD']"
6,0.013599999999999945,0.0329,0.0105,2.5642,1000,0.1,"['date', 'CHN10', 'SHERONG', 'SHI', 'CPI', 'GKBOND']"
7,0.014399999999999968,0.0337,0.0104,26.2727,10000,0.1,"['date', 'CHN10', 'SHERONG', 'USDI', 'SHI', 'GKBOND', 'MID']"
8,0.015700000000000047,0.0301,0.0098,23.3693,10000,0.001,"['date', 'CHN10', 'SHERONG', 'USDI', 'GOVBOND', 'SHI', 'GKBOND', 'MID', 'GOLD']"
9,0.015900000000000025,0.033,0.0107,22.6263,10000,0.01,"['date', 'CHN10', 'SHERONG', 'R007', 'CPI', 'GKBOND']"
