,feature_comb,r2,mae,mpea,timecost,epochs,learning_rate,y_test_predict
0,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.9245,0.065,0.0194,0.2424,100,0.1,"[[3.6177568]
 [3.6177568]
 [3.6177568]
 ...
 [2.8644712]
 [2.8429399]
 [2.8510692]]"
1,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.8722,0.1036,0.0337,0.2673,100,0.01,"[[3.3411052]
 [3.3492508]
 [3.3833034]
 ...
 [2.9733233]
 [2.9724681]
 [2.9727838]]"
2,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",-5.3391,0.7391,0.2158,0.2604,100,0.001,"[[2.2861776]
 [2.2863114]
 [2.286024 ]
 ...
 [2.4393504]
 [2.4510884]
 [2.4419258]]"
3,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.9645,0.0522,0.0161,2.4105,1000,0.1,"[[3.464642 ]
 [3.4618728]
 [3.4729936]
 ...
 [2.8312738]
 [2.8198767]
 [2.823315 ]]"
4,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.96,0.0502,0.0167,2.3626,1000,0.01,"[[3.4315233]
 [3.4268842]
 [3.4422145]
 ...
 [2.9358463]
 [2.9277763]
 [2.9290822]]"
5,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.8726,0.0912,0.0307,2.4183,1000,0.001,"[[3.4475336]
 [3.4467545]
 [3.4617898]
 ...
 [3.0419278]
 [3.034278 ]
 [3.0383067]]"
6,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.9839,0.036,0.0114,23.7947,10000,0.1,"[[3.39961  ]
 [3.389592 ]
 [3.4268367]
 ...
 [2.7903805]
 [2.7758243]
 [2.779159 ]]"
7,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.9682,0.0443,0.0145,23.2338,10000,0.01,"[[3.376361 ]
 [3.3747177]
 [3.40237  ]
 ...
 [2.6789155]
 [2.6605632]
 [2.6657777]]"
8,"['date', 'CHN10', 'USA10', 'GOVBOND', 'CPI', 'M1', 'GKBOND']",0.9512,0.0474,0.0159,24.0984,10000,0.001,"[[3.3751166]
 [3.375546 ]
 [3.4007144]
 ...
 [3.0356576]
 [3.0178108]
 [3.026822 ]]"
9,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9229,0.0718,0.0215,0.2446,100,0.1,"[[3.6389222]
 [3.6389222]
 [3.6389222]
 ...
 [2.765438 ]
 [2.7488127]
 [2.7556157]]"
10,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9214,0.0843,0.0266,0.2344,100,0.01,"[[3.5515616]
 [3.532305 ]
 [3.561447 ]
 ...
 [2.943856 ]
 [2.9327722]
 [2.9447374]]"
11,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",-5.2361,0.8624,0.2637,0.2621,100,0.001,"[[2.3907375]
 [2.387595 ]
 [2.3923373]
 ...
 [2.2006357]
 [2.2006364]
 [2.2006383]]"
12,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",-0.0005,0.2933,0.0918,2.4246,1000,0.1,"[[3.2335653]
 [3.2335653]
 [3.2335653]
 ...
 [3.2335653]
 [3.2335653]
 [3.2335653]]"
13,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9859,0.0326,0.0103,2.3679,1000,0.01,"[[3.4154212]
 [3.401828 ]
 [3.4189074]
 ...
 [2.7777467]
 [2.7585585]
 [2.7682831]]"
14,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9705,0.0474,0.0151,2.3934,1000,0.001,"[[3.4234374]
 [3.4054759]
 [3.4221518]
 ...
 [2.745733 ]
 [2.737803 ]
 [2.7389562]]"
15,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9781,0.0428,0.0136,23.745,10000,0.1,"[[3.4099417]
 [3.3928478]
 [3.4268653]
 ...
 [2.74803  ]
 [2.7302024]
 [2.736304 ]]"
16,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9864,0.0321,0.0102,23.1929,10000,0.01,"[[3.4099007]
 [3.3844237]
 [3.4070625]
 ...
 [2.7996647]
 [2.7867446]
 [2.7945814]]"
17,"['date', 'CHN10', 'USDI', 'GKBOND', 'MID']",0.9851,0.0341,0.011,23.6908,10000,0.001,"[[3.421931 ]
 [3.402908 ]
 [3.4275062]
 ...
 [2.7410414]
 [2.7255704]
 [2.7297068]]"
18,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",-0.0,0.292,0.0912,0.2611,100,0.1,"[[3.2248428]
 [3.2248428]
 [3.2248428]
 ...
 [3.2248428]
 [3.2248428]
 [3.2248428]]"
19,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.5621,0.2062,0.0659,0.2605,100,0.01,"[[3.2155454]
 [3.2037752]
 [3.2134516]
 ...
 [3.0414178]
 [3.041561 ]
 [3.0423322]]"
20,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",-2.7331,0.6113,0.1844,0.2635,100,0.001,"[[2.4172845]
 [2.4134665]
 [2.413153 ]
 ...
 [2.3842256]
 [2.3841457]
 [2.384118 ]]"
21,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",-0.0005,0.2933,0.0918,2.3703,1000,0.1,"[[3.2335658]
 [3.2335658]
 [3.2335658]
 ...
 [3.2335658]
 [3.2335658]
 [3.2335658]]"
22,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.9855,0.0336,0.0105,2.2311,1000,0.01,"[[3.4109685]
 [3.3968408]
 [3.4146545]
 ...
 [2.772794 ]
 [2.7538931]
 [2.7615862]]"
23,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.9686,0.0498,0.0159,2.3025,1000,0.001,"[[3.4276183]
 [3.421293 ]
 [3.436221 ]
 ...
 [2.7876208]
 [2.782503 ]
 [2.7836492]]"
24,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.9741,0.0448,0.0142,23.5273,10000,0.1,"[[3.3844442]
 [3.3781502]
 [3.4123344]
 ...
 [2.7013414]
 [2.6854076]
 [2.6873739]]"
25,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.9789,0.0414,0.013,23.5593,10000,0.01,"[[3.4122648]
 [3.4083366]
 [3.4258308]
 ...
 [2.7679734]
 [2.7532525]
 [2.7595944]]"
26,"['date', 'CHN10', 'USDI', 'CPI', 'GKBOND']",0.984,0.0356,0.0113,23.5945,10000,0.001,"[[3.4009604]
 [3.3906918]
 [3.41193  ]
 ...
 [2.7272503]
 [2.705403 ]
 [2.7115393]]"
27,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.8081,0.1202,0.0369,0.2391,100,0.1,"[[3.5572207]
 [3.5572207]
 [3.5572207]
 ...
 [2.6967757]
 [2.6942408]
 [2.697426 ]]"
28,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.8321,0.1125,0.0368,0.2349,100,0.01,"[[3.4640646]
 [3.500955 ]
 [3.5198536]
 ...
 [2.9692235]
 [2.9063296]
 [2.9760509]]"
29,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",-0.5368,0.3996,0.1201,0.259,100,0.001,"[[2.9586968]
 [2.951213 ]
 [2.9481516]
 ...
 [2.6641304]
 [2.739229 ]
 [2.636465 ]]"
30,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",-0.0005,0.2932,0.0918,2.3641,1000,0.1,"[[3.2336392]
 [3.2336411]
 [3.2336416]
 ...
 [3.2336426]
 [3.2336426]
 [3.2336426]]"
31,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9686,0.0457,0.0152,2.4313,1000,0.01,"[[3.4250612]
 [3.420407 ]
 [3.433334 ]
 ...
 [2.9129555]
 [2.892344 ]
 [2.9000282]]"
32,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9467,0.0635,0.0209,2.3541,1000,0.001,"[[3.4609365]
 [3.488389 ]
 [3.518301 ]
 ...
 [2.8932037]
 [2.8837004]
 [2.886341 ]]"
33,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9305,0.0596,0.02,23.4988,10000,0.1,"[[3.393303 ]
 [3.3905888]
 [3.4124904]
 ...
 [2.9723294]
 [2.9234772]
 [2.9492245]]"
34,"['date', 'CHN10', 'SHERONG', 'R007', 'GOVBOND', 'SHI', 'M1', 'GKBOND', 'GOLD']",0.9854,0.0326,0.0103,23.64,10000,0.01,"[[3.3669238]
 [3.3621905]
 [3.380968 ]
 ...
 [2.8415809]
 [2.824149 ]
 [2.82354  ]]"
